name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
1.370   -> 32.43385260955322 -0.034726189509933295 1998.543555349299
1.375   -> 32.54701407252564 -0.03497623067913529 1998.5246005091626
1.380   -> 32.66016248921692 -0.03522932285586713 1998.5055536027785
1.385   -> 32.77329805125251 -0.035485574813087555 1998.4864169598152
1.390   -> 32.886420943034835 -0.03574509651343177 1998.467192912152
1.395   -> 32.99953134144632 -0.03600799906676005 1998.447883792758
1.400   -> 33.11262941556337 -0.03627439468572792 1998.4284919345641
1.405   -> 33.22571532638189 -0.03654439663936639 1998.4090196693303
1.410   -> 33.338789226555186 -0.03681811920466462 1998.3894693265038
1.415   -> 33.45185126014467 -0.037095677616152116 1998.3698432320755
1.420   -> 33.56490156238413 -0.03737718801348185 1998.350143707429
1.425   -> 33.67794025945808 -0.03766276738702076 1998.3303730681876
1.430   -> 33.7909674682948 -0.03795253352145871 1998.3105336230567
1.435   -> 33.90398329637457 -0.03824660493745255 1998.2906276726656
1.440   -> 34.01698784155361 -0.03854510083132678 1998.2706575084067
1.445   -> 34.12998119190424 -0.038848141012858176 1998.2506254112743
1.450   -> 34.24296342557166 -0.03915584584117689 1998.2305336507052
1.455   -> 34.35593461064773 -0.03946833615882244 1998.2103844834191
1.460   -> 34.46889480506224 -0.03978573322399871 1998.1901801522638
1.465   -> 34.58184405649185 -0.040108158641077675 1998.169922885062
1.470   -> 34.69478240228708 -0.04043573428940757 1998.1496148934652
1.475   -> 34.80770986941755 -0.04076858225048687 1998.129258371812
1.480   -> 34.920626474435714 -0.04110682473357132 1998.108855495995
1.485   -> 35.03353222345918 -0.041450583999786794 1998.0884084223346
1.490   -> 35.14642711217178 -0.041799982284826634 1998.0679192864657
1.495   -> 35.25931112584336 -0.04215514172031736 1998.0473902022313
1.500   -> 35.37218423936846 -0.042516184253942185 1998.026823260592
1.505   -> 35.485046417323595 -0.04288323156841682 1998.006220528547
1.510   -> 35.59789761404332 -0.04325640499941714 1997.9855840480698
1.515   -> 35.71073777371472 -0.04363582545256291 1997.9649158350614
1.520   -> 35.82356683049024 -0.04402161331956635 1997.9442178783193
1.525   -> 35.93638470861861 -0.04441388839365841 1997.9234921385241
1.530   -> 36.04919132259351 -0.04481276978440957 1997.9027405472482
1.535   -> 36.161986577319745 -0.04521837583206542 1997.881965005982
1.540   -> 36.27477036829647 -0.045630824021520654 1997.8611673851838
1.545   -> 36.38754258181707 -0.046050230896057524 1997.840349523351
1.550   -> 36.50030309518521 -0.046476711970977705 1997.8195132261162
1.555   -> 36.613051776946584 -0.04691038164725804 1997.7986602653655
1.560   -> 36.72578848713581 -0.04735135312536248 1997.7777923783842
1.565   -> 36.83851307753785 -0.04779973831934358 1997.7569112670283
1.570   -> 36.95122539196342 -0.048255647771367635 1997.7360185969205
1.575   -> 37.0639252665377 -0.04871919056679777 1997.7151159966768
1.580   -> 37.17661253000168 -0.049190474249969224 1997.694205057158
1.585   -> 37.289287004025454 -0.049669604740790345 1997.6732873307515
1.590   -> 37.40194850353284 -0.05015668625230191 1997.6523643306816
1.595   -> 37.51459683703644 -0.0506518212093259 1997.6314375303477
1.600   -> 37.627231806982536 -0.05115511016833309 1997.6105083626933
1.605   -> 37.739853210105004 -0.05166665173865655 1997.5895782196037
1.610   -> 37.852460837787554 -0.05218654250517567 1997.5686484513337
